time,theta,theta_dot
0.54,1.7005392554756398,8.699907283112283
0.55,1.7891383110972552,9.019148389521337
0.56,1.8809029669356043,9.332604634406238
0.5700000000000001,1.9757623799718327,9.637647327104059
0.58,2.0736185856780085,9.931487360904681
0.59,2.174345107863235,10.211219900374614
0.6,2.27778607162574,10.473880243678808
0.61,2.3837559276847697,10.716510026479105
0.62,2.4920398837295408,10.936232061277323
0.63,2.602395116820009,11.130331199592407
0.64,2.7145528104252388,11.296337758818591
0.65,2.828221021536827,11.432109379784968
0.66,2.9430883396924172,11.53590678295312
0.67,3.0588282539336413,11.606458859718936
0.68,3.175104099663817,11.643012921549245
0.6900000000000001,3.2915744192826395,11.645366732565035
0.7000000000000001,3.407898542274194,11.613880111031289
0.71,3.5237421751521487,11.549465288387388
0.72,3.638782791017529,11.45355670881382
0.73,3.752714622538451,11.328062370974912
0.74,3.8652530893659414,11.175300001801734
0.75,3.9761385284217186,10.997922191781466
0.76,4.085139139272233,10.798835046962884
0.77,4.192053102718715,10.58111491815337
0.78,4.296709874774633,10.34792739925219
0.79,4.398970697036887,10.102452130452118
0.8,4.4987283957346875,9.847816105293902
0.81,4.595906564207793,9.587037272847361
0.8200000000000001,4.690458237013097,9.322979344312428
0.8300000000000001,4.782364168933536,9.0583179309432
0.84,4.8716308301188604,8.795517504269668
0.85,4.958288221012587,8.53681820085249
0.86,5.042387599295544,8.284231191151164
0.87,5.123999197390822,8.039541178652403
0.88,5.203209994493937,7.804314564930972
0.89,5.28012159269597,7.579911878737356
0.9,5.354848233335894,7.367503192951828
0.91,5.427514977749401,7.168085416054062
0.92,5.498256066334568,6.982500523184732
0.93,5.567213461400518,6.81145396973643
0.9400000000000001,5.6345355725382715,6.655532696512058
0.9500000000000001,5.700376158097928,6.515222282934507
0.96,5.764893392566919,6.390922930110388
0.97,5.828249086992372,6.28296405780656
0.98,5.890608047849088,6.1916173793900136
0.99,5.952137558709163,6.117108378382267
1.0,6.013006968527904,6.05962615192859
1.01,6.073387370157041,6.01933161282453
1.02,6.133451352690477,5.996364055390067
1.03,6.193372811325259,5.990846093880943
1.04,6.253326798490071,6.002886977498931
1.05,6.313489399985119,6.032584275407065
1.06,6.374037619739818,6.080023910291123
1.07,6.435149256494648,6.145278501646966
1.08,6.497002755234516,6.228403961813867
1.09,6.559777015543689,6.329434270611489
1.1,6.6236511382367365,6.4483743402813385
1.11,6.688804090687329,6.585190873625702
1.12,6.755414270294257,6.739801117572564
1.1300000000000001,6.8236589445892575,6.912059425217029
1.1400000000000001,6.89371354573839,7.1017415656521585
1.1500000000000001,6.9657507967944055,7.308526767166149
1.16,7.039939647246881,7.531977550712331
1.17,7.116443996466969,7.77151751226353
1.18,7.195421185884125,8.02640734983301
1.19,7.277020244539613,8.295719607712078
1.2,7.3613798784446995,8.578312828945121
1.21,7.448626202344092,8.872806065890698
1.22,7.53887022342332,9.177554991346199
1.23,7.632205100478521,9.490631165403233
1.24,7.728703219183043,9.809806323093273
1.25,7.828413144151518,10.132543821537743
1.26,7.931356530942933,10.455999578335328
1.27,8.037525104890554,10.777034891429066
1.28,8.146877837059154,11.092243395500503
1.29,8.25933846848045,11.397994023957262
1.3,8.374793549361272,11.690491164684861
1.31,8.493091167130183,11.965852204201994
1.32,8.614040532935283,12.220201371471186
1.33,8.737412577957697,12.449777294146239
1.34,8.862941677122205,12.651050097996196
1.35,8.9903285685077,12.820842396808557
1.36,9.119244474024793,12.95644734858242
1.37,9.249336354932753,13.055736306307343
1.3800000000000001,9.380233160655116,13.117248637921751
1.3900000000000001,9.511552858578703,13.140257117022816
1.4000000000000001,9.642909973862423,13.124803867562925
1.41,9.77392332864478,13.071704034094122
1.42,9.904223654296695,12.982516891002684
1.43,10.033460760501033,12.859486682806827
1.44,10.161309979682201,12.705457779368322
1.45,10.287477660365907,12.523770462975323
1.46,10.411705551869119,12.318144664570676
1.47,10.533773997605566,12.092559180399768
1.48,10.653503927608256,11.85113339158276
1.49,10.77075770610236,11.598017432222285
1.5,10.885438942435126,11.33729531307494
1.51,10.99749141085698,11.072903924011756
1.52,11.106897246087323,10.808569301012987
1.53,11.213674588517838,10.547760196277116
1.54,11.317874847693172,10.293657920635278
1.55,11.419579738350503,10.049140669419039
1.56,11.518898222890178,9.816780086267688
1.57,11.615963470523601,9.598847624439248
1.58,11.710929918849981,9.397328276534367
1.59,11.803970500013964,9.213939401415615
1.6,11.895274072072493,9.050152625754246
1.61,11.985043077416046,8.907217090181554
1.62,12.073491434296793,8.786182610507812
1.6300000000000001,12.16084265465958,8.687921607886992
1.6400000000000001,12.247328171296697,8.613148912859378
1.6500000000000001,12.333185849487574,8.562438759525607
1.6600000000000001,12.41865865233179,8.536238456342101
1.67,12.50399342453877,8.534878352134287
1.68,12.589439756146742,8.558577815791724
1.69,12.675248885222043,8.607447023569756
1.7,12.761672596838743,8.681484408098243
1.71,12.848962074454123,8.780569678129506
1.72,12.937366659178904,8.904452378510992
1.73,13.027132472503714,9.052736037214375
1.74,13.118500859012965,9.224858052298698
1.75,13.211706607840544,9.42006561831543
1.76,13.306975915561766,9.637388190149611
1.77,13.404524059440867,9.875607242109346
1.78,13.504552759109664,10.13322440709195
1.79,13.607247217517783,10.408429474587525
1.8,13.712772848998187,10.699070177459795
1.81,13.821271724004784,11.002626183082375
1.82,13.932858786663427,11.316190184897737
1.83,14.047617932403197,11.636459406595506
1.84,14.165598067577047,11.959741103530467
1.85,14.286809309233139,12.281975678606601
1.86,14.411219518143653,12.598780718735728
1.87,14.538751387904382,12.905518507205493
1.8800000000000001,14.669280332625629,13.197388311351077
1.8900000000000001,14.802633420290817,13.469542975570066
1.9000000000000001,14.938589583426847,13.717227142110046
1.9100000000000001,15.076881299721283,13.935931952472753
1.92,15.217197871326691,14.121558628360406
1.93,15.35919034469427,14.270581247051329
1.94,15.502478008476952,14.380197690385097
1.95,15.646656294538626,14.448457487807799
1.96,15.791305798301162,14.474356290405172
1.97,15.93600204250004,14.45788900701962
1.98,16.08032554475678,14.400056984217935
1.99,16.223871722812262,14.302828597734672
2.0,16.366260185478144,14.169056696927754
2.0100000000000002,16.507143010375557,14.002359940703776
2.02,16.646211694100256,13.806977713136964
2.0300000000000002,16.783202565494012,13.587609721577172
2.04,16.91790056534647,13.349251493631828
2.05,17.050141403651928,13.097035945560247
2.06,17.179812198315837,12.836089290279189
2.07,17.30685077017192,12.571407160258985
2.08,17.431243815321583,12.307754307829013
2.09,17.5530241975416,12.049588918224842
2.1,17.672267603809722,11.801010637790824
2.11,17.789088789421843,11.565729986235567
2.12,17.903637610853206,11.347055902618234
2.13,18.016095009381853,11.147897719015859
2.14,18.126669070755785,10.9707777744873
2.15,18.235591249077824,10.817851071913983
2.16,18.343112808812876,10.690928742546498
2.17,18.44950150867973,10.591502533841926
2.18,18.55503852572396,10.520768012024623
2.19,18.660015597102035,10.479644629395608
2.2,18.764732340736067,10.468791224467445
2.21,18.86949370356865,10.48861589299508
2.22,18.97460747719253,10.539279494572368
2.23,19.080381814777503,10.620692356195718
2.24,19.187122680262263,10.732504020595384
2.25,19.29513116073194,10.874086186286416
2.2600000000000002,19.404700576011802,11.04450932251123
2.27,19.516113326262246,11.242513838546667
2.2800000000000002,19.629637429458565,11.466477161793188
2.29,19.745522716926583,11.714378642665386
2.3000000000000003,19.86399667746413,11.983764852785203
2.31,19.985259969757394,12.271718552534647
2.32,20.109481659183878,12.574835324215648
2.33,20.236794278401565,12.889212515232833
2.34,20.36728886007857,13.210455594609249
2.35,20.50101014210793,13.533707147744046
